ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,20,0.0,0.0,300.1,301.5,479.7,20.3,198.5,395.7,11.25,4635.0,0.0044,94.4,8.4,18.2,0,2,"{2: 718, 0: 778, 1: 777}","{'swarm': 1687, 'fast': 585, 'tank': 1}","{'2': 261.0, '0': 53.0, '1': 92.0}",0.0781,1.4136
rule_based_balanced,20,0.0,0.0,300.1,254.25,454.8,45.2,245.75,74.95,1.75,4559.75,0.0099,87.0,2.15,31.85,0,1,"{1: 521, 2: 406, 0: 813}",{'fast': 1740},"{'1': 608.0, '2': 240.0, '0': 56.0}",0.0347,2.848
heuristic_defensive,20,0.0,0.0,300.1,362.0,473.25,26.75,138.0,725.0,23.95,4679.5,0.0057,89.2,3.0,28.8,1,1,"{1: 1012, 2: 516, 0: 482}","{'swarm': 995, 'fast': 898, 'tank': 117}",{'1': 535.0},0.4758,16.6934
heuristic_balanced,20,0.0,0.0,300.1,263.25,473.25,26.75,236.75,122.5,3.95,4593.5,0.0058,108.95,1.6,10.45,1,1,"{1: 1455, 2: 471, 0: 479}","{'swarm': 1589, 'fast': 804, 'tank': 12}",{'1': 535.0},0.3609,9.0422
heuristic_aggressive,20,0.0,0.0,300.1,244.25,473.25,26.75,255.75,0.0,0.0,4595.0,0.0058,121.0,0.0,0.0,1,1,"{1: 1794, 2: 473, 0: 379}","{'swarm': 2020, 'fast': 626}",{'1': 535.0},0.371,22.5764
