ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,10,40.0,0.0,300.1,424.5,456.9,43.1,75.5,1067.4,30.7,4734.0,0.0091,92.2,11.6,17.2,1,1,"{0: 345, 2: 354, 1: 405}","{'fast': 265, 'swarm': 837, 'tank': 2}","{'2': 194.0, '1': 221.0, '0': 16.0}",0.0623,0.5945
rule_based_balanced,10,0.0,0.0,300.1,283.5,416.8,83.2,216.5,0.0,0.0,4600.0,0.0181,92.0,0.0,29.0,0,1,"{1: 178, 2: 160, 0: 582}",{'fast': 920},"{'1': 504.0, '2': 328.0}",0.0192,0.4844
heuristic_defensive,10,100.0,0.0,300.1,475.0,438.0,62.0,25.0,1312.2,39.1,4766.0,0.013,74.1,6.9,40.0,0,1,"{1: 238, 2: 116, 0: 454}","{'fast': 600, 'swarm': 136, 'tank': 72}","{'1': 435.0, '2': 185.0}",0.4162,2.6061
heuristic_balanced,10,100.0,0.0,300.1,465.0,438.0,62.0,35.0,1113.0,37.0,4754.0,0.013,96.4,3.0,21.6,0,1,"{1: 410, 2: 141, 0: 423}","{'fast': 796, 'swarm': 178}","{'1': 435.0, '2': 185.0}",0.3311,2.4255
heuristic_aggressive,10,0.0,0.0,300.1,363.5,440.9,59.1,136.5,532.8,16.8,4666.0,0.0127,103.3,4.9,12.8,1,1,"{1: 726, 2: 135, 0: 190}","{'fast': 437, 'swarm': 583, 'tank': 31}","{'1': 435.0, '2': 156.0}",0.2514,1.1937
