ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,10,100.0,0.0,247.5,198.0,0.0,500.0,302.0,906.0,24.4,3887.0,0.1291,76.4,8.6,14.5,0,1,"{0: 315, 1: 313, 2: 292}","{'swarm': 691, 'fast': 228, 'tank': 1}","{'0': 1685.0, '1': 1701.0, '2': 1614.0}",0.0659,2.9581
rule_based_balanced,10,100.0,0.0,300.1,230.0,121.6,378.4,270.0,2777.1,49.6,3211.0,0.1179,47.3,9.0,64.7,0,0,{0: 473},{'fast': 473},{'0': 3784.0},0.0144,0.2301
heuristic_defensive,10,100.0,0.0,211.7,149.0,0.0,500.0,351.0,0.0,0.0,3240.0,0.1543,85.0,0.0,0.0,0,0,{0: 860},"{'fast': 330, 'swarm': 530}",{'0': 5000.0},0.1688,1.7483
heuristic_balanced,10,100.0,0.0,211.7,149.0,0.0,500.0,351.0,0.0,0.0,3240.0,0.1543,85.0,0.0,0.0,0,0,"{0: 704, 2: 99, 1: 57}","{'fast': 330, 'swarm': 530}","{'0': 4136.0, '2': 542.0, '1': 322.0}",0.1734,2.0404
heuristic_aggressive,10,100.0,0.0,211.7,149.0,0.0,500.0,351.0,0.0,0.0,3240.0,0.1543,85.0,0.0,0.0,0,0,"{0: 796, 1: 34, 2: 30}","{'fast': 330, 'swarm': 530}","{'0': 4687.0, '1': 162.0, '2': 151.0}",0.1913,2.0728
