ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,10,0.0,0.0,300.1,309.5,483.9,16.1,190.5,405.6,12.1,4636.0,0.0035,95.3,8.5,17.2,1,2,"{2: 377, 0: 363, 1: 387}","{'swarm': 828, 'fast': 299}","{'2': 95.0, '0': 24.0, '1': 42.0}",0.0397,0.4237
rule_based_balanced,10,0.0,0.0,300.1,255.5,451.2,48.8,244.5,97.1,2.3,4552.0,0.0107,86.2,2.5,32.3,0,1,"{1: 278, 2: 182, 0: 402}",{'fast': 862},"{'1': 320.0, '2': 128.0, '0': 40.0}",0.0117,0.0346
heuristic_defensive,10,70.0,0.0,300.1,388.5,379.2,120.8,111.5,1183.0,30.1,4728.0,0.0255,84.6,9.4,27.0,2,2,"{1: 241, 2: 470, 0: 165}","{'fast': 624, 'swarm': 234, 'tank': 18}","{'1': 323.0, '2': 885.0}",0.2029,0.888
heuristic_balanced,10,70.0,0.0,300.1,392.0,376.6,123.4,108.0,953.2,30.6,4729.0,0.0261,103.3,4.1,13.6,2,2,"{1: 349, 2: 550, 0: 144}","{'fast': 646, 'swarm': 397}","{'1': 323.0, '2': 911.0}",0.204,3.5227
heuristic_aggressive,10,30.0,0.0,300.1,354.0,376.6,123.4,146.0,730.4,23.1,4698.0,0.0263,99.5,5.0,16.5,2,2,"{1: 294, 2: 560, 0: 167}","{'fast': 557, 'swarm': 447, 'tank': 17}","{'1': 323.0, '2': 911.0}",0.2346,1.1166
