ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,10,0.0,0.0,300.1,299.4,452.8,47.2,200.6,2123.8,23.6,4853.5,0.0097,92.2,10.9,17.9,0,1,"{2: 371, 1: 381, 0: 397}","{'swarm': 876, 'fast': 269, 'tank': 4}","{'2': 124.0, '1': 200.0, '0': 148.0}",0.0644,0.9152
rule_based_balanced,10,0.0,0.0,300.1,206.8,346.4,153.6,293.2,1258.0,12.1,3735.5,0.0418,61.3,7.5,52.2,0,0,"{0: 515, 1: 46, 2: 52}",{'fast': 613},"{'0': 1224.0, '1': 96.0, '2': 216.0}",0.0184,0.8639
heuristic_defensive,10,0.0,0.0,300.1,99.2,372.0,128.0,400.8,125.4,1.5,4601.0,0.0279,113.7,2.4,4.9,0,0,"{0: 473, 1: 431, 2: 243}","{'fast': 490, 'swarm': 657}","{'0': 998.0, '1': 143.0, '2': 139.0}",0.2727,2.1441
heuristic_balanced,10,0.0,0.0,300.1,88.7,366.0,134.0,411.3,0.0,0.0,4600.0,0.0291,121.0,0.0,0.0,0,0,"{0: 584, 2: 324, 1: 312}","{'fast': 470, 'swarm': 750}","{'0': 1042.0, '1': 65.0, '2': 233.0}",0.2422,1.3573
heuristic_aggressive,10,0.0,0.0,300.1,165.2,359.2,140.8,334.8,829.6,7.2,4688.0,0.0302,110.1,4.0,6.9,0,0,"{0: 588, 1: 220, 2: 306}","{'fast': 528, 'swarm': 586}","{'0': 1102.0, '1': 104.0, '2': 202.0}",0.244,0.8623
