ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,8,0.0,0.0,300.1,298.12,482.5,17.5,201.88,348.25,10.38,4626.25,0.0038,95.12,8.38,17.5,1,2,"{2: 292, 0: 288, 1: 323}","{'swarm': 666, 'fast': 237}","{'2': 95.0, '0': 16.0, '1': 29.0}",0.0681,1.7527
rule_based_balanced,8,0.0,0.0,300.1,248.12,451.0,49.0,251.88,105.38,2.5,4548.75,0.0108,85.5,2.88,32.62,0,1,"{1: 225, 2: 150, 0: 309}",{'fast': 684},"{'1': 264.0, '2': 88.0, '0': 40.0}",0.0278,0.6479
heuristic_defensive,8,62.5,0.0,300.1,402.5,379.0,121.0,97.5,1041.5,33.5,4737.5,0.0255,91.25,3.75,26.0,2,2,"{1: 232, 2: 355, 0: 170}","{'fast': 548, 'swarm': 188, 'tank': 21}","{'1': 265.0, '2': 703.0}",0.3416,2.4963
heuristic_balanced,8,25.0,0.0,300.1,335.62,375.75,124.25,164.38,620.75,20.5,4682.5,0.0265,101.12,4.38,15.5,2,2,"{1: 281, 2: 296, 0: 241}","{'fast': 495, 'swarm': 319, 'tank': 4}","{'1': 265.0, '2': 729.0}",0.3069,1.4646
heuristic_aggressive,8,0.0,0.0,300.1,236.25,375.75,124.25,263.75,0.0,0.0,4600.0,0.027,121.0,0.0,0.0,1,2,"{1: 514, 2: 292, 0: 170}","{'fast': 376, 'swarm': 600}","{'1': 265.0, '2': 729.0}",0.2575,2.1062
