ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,5,0.0,0.0,300.1,304.0,485.6,14.4,196.0,348.0,11.0,4648.0,0.0031,94.2,9.2,17.6,1,2,"{2: 176, 0: 180, 1: 202}","{'swarm': 414, 'fast': 144}","{'2': 64.0, '0': 8.0}",0.1481,4.8815
rule_based_balanced,5,0.0,0.0,300.1,250.0,448.8,51.2,250.0,116.8,2.8,4572.0,0.0112,85.8,3.0,32.2,0,1,"{1: 151, 2: 104, 0: 174}",{'fast': 429},"{'1': 200.0, '2': 56.0}",0.0328,0.5715
heuristic_defensive,5,0.0,0.0,300.1,363.0,472.0,28.0,137.0,762.0,25.2,4682.0,0.006,90.0,3.0,28.0,1,1,"{1: 247, 2: 127, 0: 130}","{'swarm': 237, 'fast': 242, 'tank': 25}",{'1': 140.0},0.4345,3.6118
heuristic_balanced,5,0.0,0.0,300.1,263.0,472.0,28.0,237.0,160.0,5.0,4590.0,0.0061,108.0,2.2,10.8,1,1,"{1: 319, 2: 124, 0: 151}","{'swarm': 399, 'fast': 190, 'tank': 5}",{'1': 140.0},0.35,3.6279
heuristic_aggressive,5,0.0,0.0,300.1,239.0,472.0,28.0,261.0,0.0,0.0,4594.0,0.0061,121.0,0.0,0.0,1,1,"{1: 413, 2: 124, 0: 122}","{'swarm': 499, 'fast': 160}",{'1': 140.0},0.3503,3.5818
