ai_profile,matches,ai_win_rate_pct,draw_rate_pct,avg_match_duration_s,avg_ai_base_hp_end,avg_player_base_hp_end,avg_damage_to_player_base,avg_damage_to_ai_base,avg_damage_to_player_units,avg_ai_kills,avg_resource_spent_ai,avg_resource_efficiency_ai,avg_ai_attack_count,avg_ai_defense_count,avg_ai_economy_count,dominant_ai_attack_lane,most_effective_ai_damage_lane,ai_attack_lane_counts,ai_unit_type_counts,ai_base_damage_by_lane,avg_decision_time_ms,max_decision_time_ms
random_balanced,30,0.0,0.0,300.1,302.17,480.43,19.57,197.83,380.47,10.77,4633.33,0.0042,94.63,8.47,17.9,0,2,"{2: 1072, 0: 1165, 1: 1165}","{'swarm': 2532, 'fast': 867, 'tank': 3}","{'2': 409.0, '0': 53.0, '1': 125.0}",0.0448,0.535
rule_based_balanced,30,0.0,0.0,300.1,255.17,455.2,44.8,244.83,56.7,1.3,4565.67,0.0098,87.87,1.77,31.37,0,1,"{1: 755, 2: 602, 0: 1279}",{'fast': 2636},"{'1': 864.0, '2': 352.0, '0': 128.0}",0.0138,0.1695
heuristic_defensive,30,46.67,3.33,300.1,377.83,386.73,113.27,122.17,1043.37,26.67,4698.5,0.0241,82.87,10.03,28.1,2,2,"{1: 815, 2: 1030, 0: 728}","{'fast': 1803, 'swarm': 707, 'tank': 63}","{'1': 1152.0, '2': 2246.0}",0.2034,1.3595
heuristic_balanced,30,56.67,0.0,300.1,372.17,382.33,117.67,127.83,824.13,25.37,4707.0,0.025,97.63,6.23,17.13,1,2,"{1: 1088, 2: 1004, 0: 867}","{'fast': 1930, 'swarm': 1029}","{'1': 1063.0, '2': 2467.0}",0.1867,1.4321
heuristic_aggressive,30,20.0,0.0,300.1,350.67,381.9,118.1,149.33,664.8,21.17,4685.33,0.0252,99.9,5.1,16.0,1,2,"{1: 1024, 2: 1017, 0: 1014}","{'fast': 1517, 'swarm': 1459, 'tank': 79}","{'1': 1063.0, '2': 2480.0}",0.184,1.87
